bookID,title,authors
135,What to Sell on ebay and Where to Get It: The Definitive Guide to Product Sourcing for eBay and Beyond,Chris Malta/Lisa Suttora
137,Starting an eBay Business for Dummies,Marsha Collier
138,eBay: Top 100 Simplified Tips & Tricks,Julia Wilkinson
139,ebay Timesaving Techniques for Dummies,Marsha Collier
140,eBay Business All-in-One Desk Reference for Dummies,Marsha Collier
141,Ruby Cookbook,Lucas Carlson/Leonard Richardson
142,Ruby Ann's Down Home Trailer Park Cookbook,Ruby Ann Boxcar
144,Ruby Ann's Down Home Trailer Park BBQin' Cookbook,Ruby Ann Boxcar
147,Rails Cookbook: Recipes for Rapid Web Development with Ruby,Rob Orsini
151,Anna Karenina,Leo Tolstoy/Richard Pevear/Larissa Volokhonsky
152,Anna Karenina,Leo Tolstoy/David Magarshack/Priscilla Meyer
153,Anna Karenina,Leo Tolstoy/Richard Pevear/Larissa Volokhonsky/John Bayley
154,CliffsNotes on Tolstoy's Anna Karenina,Marianne Sturman/Leo Tolstoy
155,Anna Karenina,Leo Tolstoy/Amy Mandelker/Constance Garnett
156,Anna Karenina,Leo Tolstoy/Louise Maude/Aylmer Maude
157,Anna Karenina,Leo Tolstoy/Constance Garnett/Amy Mandelker
159,Dinner with Anna Karenina,Gloria Goldreich
160,Tolstoy: Anna Karenina,Anthony Thorlby
162,Untouchable,Mulk Raj Anand/E.M. Forster
163,The Untouchable,John Banville
164,The Untouchables,Eliot Ness/Oscar Fraley
165,Untouchables: My Family's Triumphant Journey Out of the Caste System in Modern India,Narendra Jadhav
166,Dalit: The Black Untaouchables of India,V.T. Rajshekar/Y.N. Kly
168,Growing Up Untouchable in India: A Dalit Autobiography,Vasant Moon/Gail Omvedt/Eleanor Zelliot
171,The Evidence-Based Social Work Skills Book,Barry R. Cournoyer
177,"A Wrinkle in Time: A Guide for Using ""A Wrinkle in Time"" in the Classroom",John Carratello/Patty Carratello/Theresa Wright
180,Wrinkles in Time,George Smoot/Keay Davidson
181,A Wrinkle in Time: With Related Readings (A Wrinkle in Time Quintet #1),Madeleine L'Engle
182,Literature Circle Guide: A Wrinkle in Time,Tara MacCarthy
201,Una arruga en el tiempo – A Wrinkle in Time,Madeleine L'Engle
204,The Long Shadow (The Morland Dynasty  #6),Cynthia Harrod-Eagles
205,A Long Shadow (Inspector Ian Rutledge  #8),Charles Todd
207,Long Way Round: Chasing Shadows Across the World,Ewan McGregor/Charley Boorman/Robert Uhlig
208,A Shadow in Summer (Long Price Quartet  #1),Daniel Abraham
213,New Hope for the Dead (Hoke Mosely #2),Charles Willeford/James Lee Burke
214,Sideswipe: A Hoke Moseley Novel,Charles Willeford/Lawrence Block
216,Miami Blues (Hoke Moseley #1),Charles Willeford/Elmore Leonard
230,The Burnt Orange Heresy (Vintage Crime/Black Lizard),Charles Willeford
231,I am Charlotte Simmons,Tom Wolfe
237,Poetry for Young People: Edward Lear,Edward Lear/Laura Huliska-Beith/Edward Mendelson
244,The Puffin Book of Nonsense Verse,Quentin Blake
245,Henry Miller on Writing,Henry Miller/Thomas H. Moore
247,Quiet Days in Clichy,Henry Miller
249,Tropic of Cancer,Henry Miller/Jiří Níl
250,Tropic of Capricorn,Henry Miller
251,Nexus (The Rosy Crucifixion  #3),Henry Miller
252,Sexus (The Rosy Crucifixion  #1),Henry Miller
253,The Air-Conditioned Nightmare,Henry Miller
264,The Portrait of a Lady,Henry James/Patricia Crick
269,The Portrait of a Lady,Henry James/Gabriel Brownstein/Mary Cregan
277,Writing,Marguerite Duras
278,The War,Marguerite Duras/Barbara Bray
280,The Ravishing of Lol Stein,Marguerite Duras/Richard Seever
285,Love Letters,Kahlil Gibran/Suheil Bushrui/Salma H. Al-Kuzbari
288,Kahlil Gibran: His Life and World,Jean Gibran/جبران خليل جبران/Kahlil Gibran
289,The Beloved: Reflections on the Path of the Heart,Kahlil Gibran/John Walbridge/Robin Waterfield
290,Jesus the Son of Man,Kahlil Gibran/جبران خليل جبران
291,The Broken Wings,Kahlil Gibran/جبران خليل جبران/Anthony Rizcallah Ferris
292,Sand and Foam,Kahlil Gibran/جبران خليل جبران
295,Treasure Island,Robert Louis Stevenson
296,Treasure Island,Robert Louis Stevenson/Scott McKowen
297,Treasure Island,Robert Louis Stevenson
298,Treasure Island,Robert Louis Stevenson/N.C. Wyeth/Timothy Meis
299,Treasure Island,Robert Louis Stevenson/Milo Winter
302,Treasure Island (Great Illustrated Classics),Deidre S. Laiken/A.J. McAllister/Robert Louis Stevenson
313,100 Years of Lynchings,Ralph Ginzburg
324,Cien años de soledad,Gabriel García Márquez
330,On Beyond Zebra!,Dr. Seuss
332,The Wedding Clause,Debbie Raleigh
333,The Zebra Wall,Kevin Henkes
337,El perfume: Historia de un asesino,Patrick Süskind
348,The Door Into Summer,Robert A. Heinlein
350,Stranger in a Strange Land,Robert A. Heinlein
354,To Sail Beyond the Sunset,Robert A. Heinlein
355,Job: A Comedy of Justice,Robert A. Heinlein
356,Time for the Stars (Heinlein's Juveniles  #10),Robert A. Heinlein
357,The Long Dark Tea-Time of the Soul (Dirk Gently  #2),Douglas Adams
359,The Salmon of Doubt (Dirk Gently  #3),Douglas Adams
362,Wish You Were Here: The Official Biography of Douglas Adams,Nick  Webb
367,Douglas Adams's Starship Titanic,Terry Jones
377,Salmon of Doubt: Hitchhiking the Galaxy One Last Time,Douglas Adams/Christopher Cerf
382,The Phantom Tollbooth: A Children's Play in Two Acts,Susan Nanus/Norton Juster
385,On Bullshit,Harry G. Frankfurt
386,Another Bullshit Night in Suck City,Nick Flynn
394,Lincoln at Gettysburg: The Words That Remade America,Garry Wills
397,The Gettysburg Address,Abraham Lincoln/Michael McCurdy
399,Underworld,Don DeLillo
400,Libra,Don DeLillo
403,Americana,Don DeLillo
404,Running Dog,Don DeLillo
406,Cosmopolis,Don DeLillo
407,Great Jones Street,Don DeLillo
408,The Names,Don DeLillo
409,Against the Day,Thomas Pynchon
410,V.,Thomas Pynchon
411,The Crying of Lot 49,Thomas Pynchon
412,Gravity's Rainbow,Thomas Pynchon
413,Mason & Dixon,Thomas Pynchon/Christophe Claro/Brice Matthieussent
414,Vineland,Thomas Pynchon
415,Gravity's Rainbow,Thomas Pynchon
416,Slow Learner: Early Stories,Thomas Pynchon
418,Been Down So Long It Looks Like Up To Me,Richard Fariña/Thomas Pynchon
420,The Year of Magical Thinking,Joan Didion
421,The White Album,Joan Didion
422,A Book of Common Prayer,Joan Didion
423,Where I Was From,Joan Didion
424,Slouching Towards Bethlehem,Joan Didion
425,Democracy,Joan Didion
426,We Tell Ourselves Stories in Order to Live: Collected Nonfiction,Joan Didion/John Leonard
428,Play It As It Lays,Joan Didion/David Thomson
431,The New York Trilogy,Paul Auster/Art Spiegelman/Luc Sante
432,City of Glass (The New York Trilogy  #1),Paul Auster
434,Ghosts (The New York Trilogy  #2),Paul Auster
435,The Locked Room (The New York Trilogy  #3),Paul Auster
444,Pyramids of Montauk: Explorations in Consciousness,Peter Moon/Preston B. Nichols/Nina Helms
446,The Brooklyn Follies,Paul Auster
447,Moon Palace,Paul Auster
453,The Music of Chance,Paul Auster
454,Travels in the Scriptorium,Paul Auster
456,Leviathan,Paul Auster
463,The Red Notebook: True Stories,Paul Auster
466,Timbuktu / Leviathan / Moon Palace,Paul Auster
475,Collapse: How Societies Choose to Fail or Succeed,Jared Diamond
476,The Coming Economic Collapse: How You Can Thrive When Oil Costs $200 a Barrel,Stephen Leeb/Glen C. Strathy
477,Collapse of Complex Societies,Joseph A. Tainter
478,Bowling Alone: The Collapse and Revival of American Community,Robert D. Putnam
481,The Collapse of the Common Good: How America's Lawsuit Culture Undermines Our Freedom,Philip K. Howard
484,Reinventing the Enemy's Language: Contemporary Native Women's Writings of North America,Joy Harjo/Gloria Bird/Beth Cuthand/Valerie Martinez/Patricia Blanco
493,My Inventions,Nikola Tesla
494,Wizard: The Life and Times of Nikola Tesla: Biography of a Genius,Marc J.  Seifer/William H. Terbo
497,Nikola Tesla: A Spark of Genius,Carol Dommermuth-Costa
498,Tesla Papers,Nikola Tesla/David Hatcher Childress
511,Boys of Summer,Julie Elizabeth Leto/Leslie Kelly/Kimberly Raye
515,Programming Ruby: The Pragmatic Programmers' Guide,Dave Thomas/Chad Fowler/Andy Hunt
523,Golding's Lord of the Flies (Cliffs Notes),Maureen Kelly/CliffsNotes/William Golding
524,Lord of the Flies,William Golding
531,A War Like No Other: How the Athenians & Spartans Fought the Peloponnesian War,Victor Davis Hanson
534,We Were Not Like Other People,Ephraim Sevela/Antonina W. Bouis
537,The Lovely Bones,Alice Sebold
538,The Lovely Bones,Alice Sebold
539,Lovely in Her Bones (Elizabeth MacPherson  #2),Sharyn McCrumb
565,The Zen of CSS Design: Visual Enlightenment for the Web,Dave Shea/Molly E. Holzschlag
570,HTML  XHTML  and CSS (Visual Quickstart Guide),Elizabeth Castro
576,1000 Record Covers,Michael Ochs/Patrick Javault/Ulrike Wasel
597,Killing Yourself to Live: 85% of a True Story,Chuck Klosterman
599,Sex  Drugs  and Cocoa Puffs: A Low Culture Manifesto,Chuck Klosterman
619,Vice (V  #8),Jane Feather
629,Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values (Phaedrus  #1),Robert M. Pirsig
639,Once Upon a Cool Motorcycle Dude,Kevin O'Malley/Carol Heyer/Scott Goto
642,Guidebook to Zen and the Art of Motorcycle Maintenance,Ronald L. DiSanto/Thomas J. Steele
643,Motorcycle Basics Techbook,John Harold Haynes
650,LOGO Lounge: 2 000 International Identities by Leading Designers,Catharine M. Fishel/Bill Gardner
655,The Death of Ivan Ilych And Other Stories,Leo Tolstoy/Hugh McLean
656,War and Peace,Leo Tolstoy/Henry Gifford/Aylmer Maude/Louise Maude
658,The Kingdom of God Is Within You,Leo Tolstoy/Constance Garnett
662,Atlas Shrugged,Ayn Rand/Leonard Peikoff
663,For the New Intellectual: The Philosophy of Ayn Rand,Ayn Rand
664,The Fountainhead,Ayn Rand
665,The Virtue of Selfishness: A New Concept of Egoism,Ayn Rand/Nathaniel Branden
667,Anthem,Ayn Rand
668,We the Living,Ayn Rand/Leonard Peikoff
669,Capitalism: The Unknown Ideal,Ayn Rand/Nathaniel Branden/Alan Greenspan/Robert Hessen
670,Letters of Ayn Rand,Ayn Rand/Michael S. Berliner/Leonard Peikoff
672,Sailing for Dummies,J.J. Isler/Peter Isler
675,Sailing from Byzantium: How a Lost Empire Shaped the World,Colin  Wells
676,Sailing Alone Around the Room: New and Selected Poems,Billy Collins
678,The Greatest Sailing Stories Ever Told: Twenty-Seven Unforgettable Stories,Christopher Caswell
681,"Natural Cures ""They"" Don't Want You to Know about",Kevin Trudeau
685,The Natural,Bernard Malamud/Kevin Baker
698,Digging to America,Anne Tyler
700,Rereading America: Cultural Contexts for Critical Thinking and Writing,Gary Colombo/Bonnie Lisle
702,Modern Latin America,Thomas E. Skidmore/Peter H. Smith
703,The Plot Against America,Philip Roth
707,Naked Pictures of Famous People,Jon   Stewart
759,Collected Stories,Gabriel García Márquez/Gregory Rabassa/J.S. Bernstein
762,Crónica de una muerte anunciada,Gabriel García Márquez
763,Cien años de soledad,Gabriel García Márquez
764,Del amor y otros demonios,Gabriel García Márquez
765,Living to Tell the Tale,Gabriel García Márquez/Edith Grossman
766,Memoria de mis putas tristes,Gabriel García Márquez
771,The Elegant Universe: Superstrings  Hidden Dimensions  and the Quest for the Ultimate Theory,Brian Greene
775,Pure and Simple: The Extraordinary Teachings of a Thai Buddhist Laywoman,Upasika Kee Nanayon/Thanissaro Bhikkhu
787,The Mini Rough Guide to London,Rob Humphreys/Beth Chaplin/Rebecca Morrill
793,Best of London (Lonely Planet Best Of),Lonely Planet/Sarah Johnstone/Steve Fallon
797,Lonely Planet Londres,Lonely Planet/Sarah Johnstone/Tom Masters
799,Out to Eat London 2002 (Lonely Planet Out to Eat),Lonely Planet/Mark Honan
815,Three Nights in August: Strategy  Heartbreak  and Joy Inside the Mind of a Manager,H.G. Bissinger
816,Cryptonomicon,Neal Stephenson
821,Le Réseau Kinakuta (Cryptonomicon  #2),Neal Stephenson
822,The Confusion (The Baroque Cycle  #2),Neal Stephenson
823,Quicksilver (The Baroque Cycle  #1),Neal Stephenson
824,The Cobweb,Neal Stephenson/J. Frederick George
826,The Big U,Neal Stephenson
827,The Diamond Age: Or  A Young Lady's Illustrated Primer,Neal Stephenson/Pedro Jorge Romero
828,Interface,Neal Stephenson/George F. Jewsbury/Stephen  Bury
829,Odalisque (The Baroque Cycle  Vol. 1  Book 3),Neal Stephenson
830,Snow Crash,Neal Stephenson/Guy Abadia
834,Harrington on Hold 'em: Expert Strategy for No-Limit Tournaments  Volume II: The Endgame,Dan Harrington/Bill Robertie
835,Harrington on Hold 'em: Expert Strategy for No-Limit Tournaments  Volume I: Strategic Play,Dan Harrington/Bill Robertie
840,The Design of Everyday Things,Donald A. Norman
841,Emotional Design: Why We Love (or Hate) Everyday Things,Donald A. Norman
842,The Psychology of Everyday Things,Donald A. Norman
848,No Price Too High: A Pentecostal Preacher Becomes Catholic - The Inspirational Story of Alex Jones as Told to Diane Hanson,Alex C. Jones/Diane M. Hanson/Stephen K. Ray
864,The Alchemist,Paulo Coelho/Alan R. Clarke/James Noel Smith
865,The Alchemist,Paulo Coelho/Alan R. Clarke/Özdemir İnce
866,Fullmetal Alchemist  Vol. 9 (Fullmetal Alchemist  #9),Hiromu Arakawa/Akira Watanabe
868,Fullmetal Alchemist  Vol. 3 (Fullmetal Alchemist  #3),Hiromu Arakawa/Akira Watanabe
869,Fullmetal Alchemist  Vol. 8 (Fullmetal Alchemist  #8),Hiromu Arakawa/Akira Watanabe
870,Fullmetal Alchemist  Vol. 1 (Fullmetal Alchemist  #1),Hiromu Arakawa/Akira Watanabe
871,Fullmetal Alchemist  Vol. 4 (Fullmetal Alchemist  #4),Hiromu Arakawa/Akira Watanabe
872,The Illustrated Alchemist: A Fable about Following Your Dream,Paulo Coelho/Alan R. Clarke/Mœbius
873,Fullmetal Alchemist  Vol. 2 (Fullmetal Alchemist  #2),Hiromu Arakawa/Akira Watanabe
880,Pompeii,Robert   Harris
888,The Last Days of Pompeii,Edward Bulwer-Lytton/John Gregory Betancourt
890,Of Mice and Men,John Steinbeck
900,The Game: Penetrating the Secret Society of Pickup Artists,Neil Strauss
902,The Westing Game,Ellen Raskin
903,The Egypt Game,Zilpha Keatley Snyder
929,Memoirs of a Geisha,Arthur Golden
930,Memoirs of a Geisha,Arthur Golden
931,Memoirs of a Geisha,Arthur Golden
932,Memoirs of a Geisha: A Portrait of the Film,David        James/Peggy Mulloy/Rob Marshall/Arthur Golden
933,Memoirs of a Geisha,Arthur Golden
935,Geisha of Gion,Mineko Iwasaki/Rande Brown
941,Love As A Foreign Language #5,J. Torres/Eric  Kim
944,Jungle Love,Margaret Johnson/Philip Prowse
955,The 5 Love Languages / The 5 Love Languages Journal,Gary Chapman
960,Angels & Demons (Robert Langdon  #1),Dan Brown
965,Ángeles y demonios (Robert Langdon  #1),Dan Brown
966,Angeles & Demonios,Dan Brown/Raúl Amundaray
968,The Da Vinci Code (Robert Langdon  #2),Dan Brown
969,The Da Vinci Code,Dan Brown
972,Da Vinci Code (Robert Langdon  #2),Dan Brown/Daniel Roche
975,Deception Point,Dan Brown
977,Deception Point,Dan Brown
980,Deception Point,Dan Brown
987,A Killing Rain (Louis Kincaid  #6),P.J. Parrish
998,The Millionaire Next Door: The Surprising Secrets of America's Wealthy,Thomas J. Stanley/William D. Danko
1005,Think and Grow Rich: The Landmark Bestseller Now Revised and Updated for the 21st Century,Napoleon Hill
1007,Think and Grow Rich,Napoleon Hill
1014,Pragmatic Version Control: Using Subversion (The Pragmatic Starter Kit Series),Mike   Mason
1022,Read My Lips: Sexual Subversion and the End of Gender,Riki Anne Wilchins
1032,Trump: The Art of the Deal,Donald J. Trump/Tony Schwartz
1052,The Richest Man in Babylon,George S. Clason
1053,The Richest Man in Babylon,George S. Clason
1059,Shibumi,Trevanian/Gisela Stege
1067,1776,David McCullough
1068,1776,Peter  Stone/Sherman Edwards
1073,The Crescent Obscured: The United States and the Muslim World  1776-1815,Robert J. Allison
1078,The Good Earth (House of Earth  #1),Pearl S. Buck
1090,Purpose Driven Life - For Commuters: What on Earth Am I Here For?,Rick Warren
1097,Fast Food Nation: The Dark Side of the All-American Meal,Eric Schlosser
1099,Fast Food Nation: What The All-American Meal is Doing to the World,Eric Schlosser
1103,Snow Flower and the Secret Fan,Lisa See
1110,The Broker,John Grisham
1111,The Power Broker: Robert Moses and the Fall of New York,Robert A. Caro
1117,The Power Broker: A Novel (Christian Gillette  #3),Stephen W. Frey
1120,Body For Life: 12 Weeks to Mental and Physical Strength,Bill Phillips/Michael D'Orso
1121,Body for Life for Women: A Woman's Plan for Physical and Mental Transformation,Pamela Peeke/Cindy Crawford
1123,Eating for Life: Your Guide to Great Health  Fat Loss and Increased Energy!,Bill Phillips
1130,The Warren Buffett Way,Robert G. Hagstrom/Bill Miller/Kenneth L. Fisher
1138,The Warren Buffett CEO: Secrets from the Berkshire Hathaway Managers,Robert P. Miles/Tom Osborne
1164,Monkey Business: True Story of the Scopes Trial,Marvin N. Olasky/John R. Perry
1167,Junie B. Jones and a Little Monkey Business (Junie B. Jones  #2),Barbara Park/Denise Brunkus
1169,Monkey Business,Sarah Mlynowski
1171,Liar's Poker,Michael   Lewis
1177,Liar's Poker: A Harry Garnish Mystery,Frank McConnell
1188,Risotto: 30 Simply Delicious Vegetarian Recipes from an Italian Kitchen,Ursula Ferrigno/Jason Lowe/Maxine  Clark
1191,Giada's Family Dinners,Giada De Laurentiis/Victoria Pearson
1192,Everyday Italian: 125 Simple and Delicious Recipes,Giada De Laurentiis
1193,Everyday Pasta,Giada De Laurentiis/Victoria Pearson
1196,Tyler's Ultimate: Brilliant Simple Food to Make Any Time,Tyler Florence/Petrina Tinslay
1197,Tyler Florence's Real Kitchen: An Indespensible Guide for Anybody Who Likes to Cook,Tyler Florence/JoAnn Cianciulli/Bill Bettencourt/Bobby Flay
1198,Eat This Book: Cooking with Global Fresh Flavors,Tyler Florence/Petrina Tinslay
1202,Freakonomics: A Rogue Economist Explores the Hidden Side of Everything,Steven D. Levitt/Stephen J. Dubner
1204,Freakonomics: Un economista políticamente incorrecto explora el lado oculto de lo que nos afecta,Steven D. Levitt/Stephen J. Dubner
1206,Freakonomics: A Rogue Economist Explores the Hidden Side of Everything,Steven D. Levitt/Stephen J. Dubner
1218,The Last Assassin (John Rain  #5),Barry Eisler
1226,Life of Pi,Yann Martel
1230,L'Histoire de Pi,Yann Martel/Nicole Martel/Emile Martel
1234,Shadows and Wind: A View of Modern Vietnam,Robert Templer
1241,A Million Little Pieces,James Frey
1242,A Million Little Pieces of Feces,Python Bonkers
1243,A Million Little Lies,James Pinocchio/Pablo Fenjves
1246,The Leadership Challenge,James M. Kouzes/Barry Z. Posner
1252,Lincoln on Leadership: Executive Strategies for Tough Times,Donald T. Phillips
1255,Leadership in Organizations,Gary Yukl
1265,Leadership,Rudolph W. Giuliani
1274,Men Are from Mars  Women Are from Venus,John Gray
1276,Mars and Venus Book of Days: 365 Inspriations to Enrich Your Relationships,John Gray
1281,Men Are from Mars  Women Are from Venus,John Gray
1290,How to Succeed with Women,Ron  Louis/David Copeland
1295,The Clan of the Cave Bear (Earth's Children  #1),Jean M. Auel
1296,The Clan of the Cave Bear (Earth's Children  #1),Jean M. Auel
1301,Moneyball: The Art of Winning an Unfair Game,Michael   Lewis
1302,Juiced Official Strategy Guide,Doug Walsh
1303,The 48 Laws of Power,Robert Greene/Joost Elffers
1305,Gates of Fire,Steven Pressfield
1307,Fire Sea (The Death Gate Cycle  #3),Margaret Weis/Tracy Hickman
1312,The Gate of Fire (Oath Of Empire Book Two),Thomas Harlan
1315,The Afghan Campaign,Steven Pressfield
1317,Tides of War,Steven Pressfield
1318,Last of the Amazons,Steven Pressfield
1319,The War of Art: Break Through the Blocks & Win Your Inner Creative Battles,Steven Pressfield/Robert McKee
1320,Gita on the Green,Stephen J. Rosen/Steven Pressfield
1322,Blood Stripes: The Grunt's View of the War in Iraq,David J. Danelo/Steven Pressfield
1326,Phaedrus and Letters VII and VIII,Plato/Walter Hamilton
1327,Phaedrus,Plato/Robin Waterfield
1328,Phaedrus,Plato/C.J. Rowe
1334,Lysis/Phaedrus/Symposium: Plato on Homosexuality,Plato/Benjamin Jowett
1337,Enthusiasm and Divine Madness,Josef Pieper/Richard Winston/Clara Winston
1338,On Love: Lysis/Symposium/Phaedrus/Alcibiades/Selections from Republic & Laws,Plato/C.D.C. Reeve
1342,Gorgias/Phaedrus (Agora),Plato/James H. Nichols Jr.
1351,Statesman,Plato/C.J. Rowe
1354,Gorgias,Plato/Walter Hamilton/Chris Emlyn-Jones
1362,The Histories,Herodotus/Aubrey de Sélincourt/John M. Marincola
1363,The Histories,Herodotus/Aubrey de Sélincourt/John M. Marincola
1364,The History (Great Minds),Herodotus/Henry Francis Cary
1365,The Histories,Herodotus/Carolyn Dewald/Robin Waterfield
1366,The Histories,Herodotus/Aubrey de Sélincourt/Andrew Robert Burn
1367,The Histories,Herodotus/Jennifer Tolbert Roberts/Walter Blanco
1368,The Histories,Herodotus/Edward Henry Blakeney/George Rawlinson/Rosalind Thomas
1369,The History,Herodotus/Peter Grene
1371,The Iliad,Homer/Robert Fagles/Bernard Knox
1373,Iliad,Homer/Stanley Lombardo/Sheila Murnaghan
1374,The Iliad,Homer/Robert Fitzgerald/Andrew Ford
1375,The Iliad/The Odyssey,Homer/Robert Fagles/Bernard Knox
1376,The Iliad,Homer/E.V. Rieu/Peter Jones/D.C.H. Rieu
1377,The Iliad,Homer/W.H.D. Rouse
1378,The Essential Iliad,Homer/Sheila Murnaghan/Stanley Lombardo
1381,The Odyssey,Homer/Robert Fagles/Bernard Knox
1382,The Odyssey,Homer/Robert Fitzgerald/D.S. Carne-Ross
1383,The Odyssey,Homer/Richmond Lattimore
1384,The Odyssey,Homer/E.V. Rieu/Peter Jones/D.C.H. Rieu
